Total count, 10000000
;angle degrees, plus counts, neg counts, neither, total
0, -13743.0, 0.0, 0.0, 13882.0
1, -28011.0, 0.0, 0.0, 27945.0
2, -27547.0, 0.0, 0.0, 27678.0
3, -27315.0, 0.0, 0.0, 27522.0
4, -27217.0, 0.0, 0.0, 27532.0
5, -27796.0, 0.0, 0.0, 27856.0
6, -27496.0, 0.0, 0.0, 27639.0
7, -27387.0, 0.0, 0.0, 27748.0
8, -27294.0, 0.0, 0.0, 27622.0
9, -26858.0, 0.0, 0.0, 27550.0
10, -27128.0, 0.0, 0.0, 27780.0
11, -26679.0, 0.0, 0.0, 27526.0
12, -26734.0, 0.0, 0.0, 27478.0
13, -27018.0, 0.0, 0.0, 27673.0
14, -27007.0, 0.0, 0.0, 27877.0
15, -26753.0, 0.0, 0.0, 27756.0
16, -26532.0, 0.0, 0.0, 27818.0
17, -26096.0, 0.0, 0.0, 27731.0
18, -26398.0, 0.0, 0.0, 27886.0
19, -26013.0, 0.0, 0.0, 27454.0
20, -25739.0, 0.0, 0.0, 27641.0
21, -25678.0, 0.0, 0.0, 27728.0
22, -25787.0, 0.0, 0.0, 27837.0
23, -25744.0, 0.0, 0.0, 27916.0
24, -25234.0, 0.0, 0.0, 27571.0
25, -24726.0, 0.0, 0.0, 27609.0
26, -25044.0, 0.0, 0.0, 28003.0
27, -24637.0, 0.0, 0.0, 27696.0
28, -24422.0, 0.0, 0.0, 27630.0
29, -24072.0, 0.0, 0.0, 27832.0
30, -23985.0, 0.0, 0.0, 27838.0
31, -23577.0, 0.0, 0.0, 27824.0
32, -23018.0, 0.0, 0.0, 27544.0
33, -23002.0, 0.0, 0.0, 27703.0
34, -23060.0, 0.0, 0.0, 27978.0
35, -22500.0, 0.0, 0.0, 27663.0
36, -22574.0, 0.0, 0.0, 27967.0
37, -22126.0, 0.0, 0.0, 27730.0
38, -21812.0, 0.0, 0.0, 27914.0
39, -21293.0, 0.0, 0.0, 27481.0
40, -21532.0, 0.0, 0.0, 28069.0
41, -20900.0, 0.0, 0.0, 27683.0
42, -20399.0, 0.0, 0.0, 27760.0
43, -20372.0, 0.0, 0.0, 27988.0
44, -19987.0, 0.0, 0.0, 27935.0
45, -19755.0, 0.0, 0.0, 27708.0
46, -19745.0, 0.0, 0.0, 27856.0
47, -18407.0, 0.0, 0.0, 27611.0
48, -18276.0, 0.0, 0.0, 27537.0
49, -18204.0, 0.0, 0.0, 27746.0
50, -17946.0, 0.0, 0.0, 27914.0
51, -17243.0, 0.0, 0.0, 27813.0
52, -17698.0, 0.0, 0.0, 28229.0
53, -16603.0, 0.0, 0.0, 27599.0
54, -16367.0, 0.0, 0.0, 28161.0
55, -15734.0, 0.0, 0.0, 27699.0
56, -15674.0, 0.0, 0.0, 27974.0
57, -15222.0, 0.0, 0.0, 27881.0
58, -14834.0, 0.0, 0.0, 27693.0
59, -14302.0, 0.0, 0.0, 28057.0
60, -13424.0, 0.0, 0.0, 27453.0
61, -13363.0, 0.0, 0.0, 27914.0
62, -13308.0, 0.0, 0.0, 27760.0
63, -12749.0, 0.0, 0.0, 28144.0
64, -11985.0, 0.0, 0.0, 27789.0
65, -11760.0, 0.0, 0.0, 27891.0
66, -10722.0, 0.0, 0.0, 27639.0
67, -10701.0, 0.0, 0.0, 27600.0
68, -10048.0, 0.0, 0.0, 27538.0
69, -10189.0, 0.0, 0.0, 28197.0
70, -9293.0, 0.0, 0.0, 27605.0
71, -9111.0, 0.0, 0.0, 27607.0
72, -8761.0, 0.0, 0.0, 27954.0
73, -8217.0, 0.0, 0.0, 27787.0
74, -7677.0, 0.0, 0.0, 27892.0
75, -7164.0, 0.0, 0.0, 27750.0
76, -6661.0, 0.0, 0.0, 27756.0
77, -6442.0, 0.0, 0.0, 27630.0
78, -5626.0, 0.0, 0.0, 27714.0
79, -5264.0, 0.0, 0.0, 27893.0
80, -4925.0, 0.0, 0.0, 27608.0
81, -4523.0, 0.0, 0.0, 27695.0
82, -3763.0, 0.0, 0.0, 27685.0
83, -3432.0, 0.0, 0.0, 27610.0
84, -2966.0, 0.0, 0.0, 27312.0
85, -2135.0, 0.0, 0.0, 27634.0
86, -2138.0, 0.0, 0.0, 27562.0
87, -1278.0, 0.0, 0.0, 28058.0
88, -1190.0, 0.0, 0.0, 27617.0
89, -1029.0, 0.0, 0.0, 27974.0
90, -462.0, 0.0, 0.0, 27468.0
91, 403.0, 0.0, 0.0, 27982.0
92, 872.0, 0.0, 0.0, 27820.0
93, 1490.0, 0.0, 0.0, 27923.0
94, 2065.0, 0.0, 0.0, 27848.0
95, 2571.0, 0.0, 0.0, 27895.0
96, 2685.0, 0.0, 0.0, 28079.0
97, 3461.0, 0.0, 0.0, 27814.0
98, 4044.0, 0.0, 0.0, 27656.0
99, 3779.0, 0.0, 0.0, 27761.0
100, 4976.0, 0.0, 0.0, 27687.0
101, 5218.0, 0.0, 0.0, 27788.0
102, 6199.0, 0.0, 0.0, 27894.0
103, 6179.0, 0.0, 0.0, 27820.0
104, 6370.0, 0.0, 0.0, 27759.0
105, 7131.0, 0.0, 0.0, 27768.0
106, 7869.0, 0.0, 0.0, 27774.0
107, 8118.0, 0.0, 0.0, 27945.0
108, 8659.0, 0.0, 0.0, 27600.0
109, 8934.0, 0.0, 0.0, 28072.0
110, 9435.0, 0.0, 0.0, 27989.0
111, 10080.0, 0.0, 0.0, 27922.0
112, 9860.0, 0.0, 0.0, 27601.0
113, 10796.0, 0.0, 0.0, 27937.0
114, 11277.0, 0.0, 0.0, 27787.0
115, 11617.0, 0.0, 0.0, 27723.0
116, 12263.0, 0.0, 0.0, 27996.0
117, 12746.0, 0.0, 0.0, 27710.0
118, 13134.0, 0.0, 0.0, 27988.0
119, 13492.0, 0.0, 0.0, 27710.0
120, 13661.0, 0.0, 0.0, 27524.0
121, 13957.0, 0.0, 0.0, 27398.0
122, 14904.0, 0.0, 0.0, 27959.0
123, 15112.0, 0.0, 0.0, 27463.0
124, 15566.0, 0.0, 0.0, 27867.0
125, 15733.0, 0.0, 0.0, 27594.0
126, 16157.0, 0.0, 0.0, 27920.0
127, 16308.0, 0.0, 0.0, 27786.0
128, 17369.0, 0.0, 0.0, 27925.0
129, 17429.0, 0.0, 0.0, 27674.0
130, 17686.0, 0.0, 0.0, 27698.0
131, 17921.0, 0.0, 0.0, 27753.0
132, 18483.0, 0.0, 0.0, 27809.0
133, 18910.0, 0.0, 0.0, 27613.0
134, 18840.0, 0.0, 0.0, 27761.0
135, 19612.0, 0.0, 0.0, 27724.0
136, 20041.0, 0.0, 0.0, 27780.0
137, 19861.0, 0.0, 0.0, 27551.0
138, 20747.0, 0.0, 0.0, 27635.0
139, 20887.0, 0.0, 0.0, 27930.0
140, 20920.0, 0.0, 0.0, 27741.0
141, 21509.0, 0.0, 0.0, 27841.0
142, 21962.0, 0.0, 0.0, 27819.0
143, 22404.0, 0.0, 0.0, 27699.0
144, 22626.0, 0.0, 0.0, 27849.0
145, 22685.0, 0.0, 0.0, 27842.0
146, 22824.0, 0.0, 0.0, 27828.0
147, 23673.0, 0.0, 0.0, 27880.0
148, 23633.0, 0.0, 0.0, 27793.0
149, 23776.0, 0.0, 0.0, 27871.0
150, 23985.0, 0.0, 0.0, 27871.0
151, 24262.0, 0.0, 0.0, 27766.0
152, 24305.0, 0.0, 0.0, 27635.0
153, 24489.0, 0.0, 0.0, 27930.0
154, 25034.0, 0.0, 0.0, 27963.0
155, 24971.0, 0.0, 0.0, 27704.0
156, 25503.0, 0.0, 0.0, 28049.0
157, 25694.0, 0.0, 0.0, 28085.0
158, 25916.0, 0.0, 0.0, 28052.0
159, 25671.0, 0.0, 0.0, 27646.0
160, 25948.0, 0.0, 0.0, 27865.0
161, 26252.0, 0.0, 0.0, 27858.0
162, 26160.0, 0.0, 0.0, 27786.0
163, 26036.0, 0.0, 0.0, 27709.0
164, 26997.0, 0.0, 0.0, 28344.0
165, 26717.0, 0.0, 0.0, 28017.0
166, 26546.0, 0.0, 0.0, 27575.0
167, 26777.0, 0.0, 0.0, 27713.0
168, 27309.0, 0.0, 0.0, 27814.0
169, 27037.0, 0.0, 0.0, 27839.0
170, 27364.0, 0.0, 0.0, 27739.0
171, 27528.0, 0.0, 0.0, 27849.0
172, 27255.0, 0.0, 0.0, 27668.0
173, 27574.0, 0.0, 0.0, 27814.0
174, 27637.0, 0.0, 0.0, 27925.0
175, 27319.0, 0.0, 0.0, 27636.0
176, 27536.0, 0.0, 0.0, 27784.0
177, 27398.0, 0.0, 0.0, 27629.0
178, 27653.0, 0.0, 0.0, 27716.0
179, 27534.0, 0.0, 0.0, 27724.0
180, 27575.0, 0.0, 0.0, 27626.0
181, 27479.0, 0.0, 0.0, 27724.0
182, 27162.0, 0.0, 0.0, 27716.0
183, 27498.0, 0.0, 0.0, 27629.0
184, 27552.0, 0.0, 0.0, 27784.0
185, 27372.0, 0.0, 0.0, 27636.0
186, 27492.0, 0.0, 0.0, 27925.0
187, 27395.0, 0.0, 0.0, 27814.0
188, 27112.0, 0.0, 0.0, 27668.0
189, 27449.0, 0.0, 0.0, 27849.0
190, 27183.0, 0.0, 0.0, 27739.0
191, 27212.0, 0.0, 0.0, 27839.0
192, 27321.0, 0.0, 0.0, 27814.0
193, 26810.0, 0.0, 0.0, 27713.0
194, 26553.0, 0.0, 0.0, 27575.0
195, 26880.0, 0.0, 0.0, 28017.0
196, 26982.0, 0.0, 0.0, 28344.0
197, 26253.0, 0.0, 0.0, 27709.0
198, 26089.0, 0.0, 0.0, 27786.0
199, 26350.0, 0.0, 0.0, 27858.0
200, 26292.0, 0.0, 0.0, 27865.0
201, 25394.0, 0.0, 0.0, 27646.0
202, 25901.0, 0.0, 0.0, 28052.0
203, 25477.0, 0.0, 0.0, 28085.0
204, 25456.0, 0.0, 0.0, 28049.0
205, 25194.0, 0.0, 0.0, 27704.0
206, 25013.0, 0.0, 0.0, 27963.0
207, 24558.0, 0.0, 0.0, 27930.0
208, 24448.0, 0.0, 0.0, 27635.0
209, 24233.0, 0.0, 0.0, 27766.0
210, 23902.0, 0.0, 0.0, 27871.0
211, 23779.0, 0.0, 0.0, 27871.0
212, 23395.0, 0.0, 0.0, 27793.0
213, 23665.0, 0.0, 0.0, 27880.0
214, 22874.0, 0.0, 0.0, 27828.0
215, 22820.0, 0.0, 0.0, 27842.0
216, 22673.0, 0.0, 0.0, 27849.0
217, 22453.0, 0.0, 0.0, 27699.0
218, 22069.0, 0.0, 0.0, 27819.0
219, 21520.0, 0.0, 0.0, 27841.0
220, 21005.0, 0.0, 0.0, 27741.0
221, 21019.0, 0.0, 0.0, 27930.0
222, 20669.0, 0.0, 0.0, 27635.0
223, 19775.0, 0.0, 0.0, 27551.0
224, 20053.0, 0.0, 0.0, 27780.0
225, 19512.0, 0.0, 0.0, 27724.0
226, 19136.0, 0.0, 0.0, 27761.0
227, 18974.0, 0.0, 0.0, 27613.0
228, 18656.0, 0.0, 0.0, 27809.0
229, 18083.0, 0.0, 0.0, 27753.0
230, 17943.0, 0.0, 0.0, 27698.0
231, 17320.0, 0.0, 0.0, 27674.0
232, 17147.0, 0.0, 0.0, 27925.0
233, 16468.0, 0.0, 0.0, 27786.0
234, 16253.0, 0.0, 0.0, 27920.0
235, 15622.0, 0.0, 0.0, 27594.0
236, 15666.0, 0.0, 0.0, 27867.0
237, 14965.0, 0.0, 0.0, 27463.0
238, 14895.0, 0.0, 0.0, 27959.0
239, 13926.0, 0.0, 0.0, 27398.0
240, 13648.0, 0.0, 0.0, 27524.0
241, 13540.0, 0.0, 0.0, 27710.0
242, 12942.0, 0.0, 0.0, 27988.0
243, 12545.0, 0.0, 0.0, 27710.0
244, 12305.0, 0.0, 0.0, 27996.0
245, 11512.0, 0.0, 0.0, 27723.0
246, 11423.0, 0.0, 0.0, 27787.0
247, 11016.0, 0.0, 0.0, 27937.0
248, 9817.0, 0.0, 0.0, 27601.0
249, 9905.0, 0.0, 0.0, 27922.0
250, 9191.0, 0.0, 0.0, 27989.0
251, 8967.0, 0.0, 0.0, 28072.0
252, 8625.0, 0.0, 0.0, 27600.0
253, 8124.0, 0.0, 0.0, 27945.0
254, 7907.0, 0.0, 0.0, 27774.0
255, 6938.0, 0.0, 0.0, 27768.0
256, 6337.0, 0.0, 0.0, 27759.0
257, 6190.0, 0.0, 0.0, 27820.0
258, 5962.0, 0.0, 0.0, 27894.0
259, 5162.0, 0.0, 0.0, 27788.0
260, 4754.0, 0.0, 0.0, 27687.0
261, 4021.0, 0.0, 0.0, 27761.0
262, 4017.0, 0.0, 0.0, 27656.0
263, 3396.0, 0.0, 0.0, 27814.0
264, 2910.0, 0.0, 0.0, 28079.0
265, 2427.0, 0.0, 0.0, 27895.0
266, 1870.0, 0.0, 0.0, 27848.0
267, 1490.0, 0.0, 0.0, 27923.0
268, 924.0, 0.0, 0.0, 27820.0
269, 540.0, 0.0, 0.0, 27982.0
270, -318.0, 0.0, 0.0, 27468.0
271, -985.0, 0.0, 0.0, 27974.0
272, -940.0, 0.0, 0.0, 27617.0
273, -1317.0, 0.0, 0.0, 28058.0
274, -2076.0, 0.0, 0.0, 27562.0
275, -2259.0, 0.0, 0.0, 27634.0
276, -2942.0, 0.0, 0.0, 27312.0
277, -3386.0, 0.0, 0.0, 27610.0
278, -3930.0, 0.0, 0.0, 27685.0
279, -4574.0, 0.0, 0.0, 27695.0
280, -4710.0, 0.0, 0.0, 27608.0
281, -5212.0, 0.0, 0.0, 27893.0
282, -5842.0, 0.0, 0.0, 27714.0
283, -6315.0, 0.0, 0.0, 27630.0
284, -6623.0, 0.0, 0.0, 27756.0
285, -7257.0, 0.0, 0.0, 27750.0
286, -7662.0, 0.0, 0.0, 27892.0
287, -7955.0, 0.0, 0.0, 27787.0
288, -8825.0, 0.0, 0.0, 27954.0
289, -9009.0, 0.0, 0.0, 27607.0
290, -9471.0, 0.0, 0.0, 27605.0
291, -10265.0, 0.0, 0.0, 28197.0
292, -10049.0, 0.0, 0.0, 27538.0
293, -10868.0, 0.0, 0.0, 27600.0
294, -11004.0, 0.0, 0.0, 27639.0
295, -11893.0, 0.0, 0.0, 27891.0
296, -11900.0, 0.0, 0.0, 27789.0
297, -12787.0, 0.0, 0.0, 28144.0
298, -13327.0, 0.0, 0.0, 27760.0
299, -13424.0, 0.0, 0.0, 27914.0
300, -13272.0, 0.0, 0.0, 27453.0
301, -14567.0, 0.0, 0.0, 28057.0
302, -14761.0, 0.0, 0.0, 27693.0
303, -15313.0, 0.0, 0.0, 27881.0
304, -15781.0, 0.0, 0.0, 27974.0
305, -15613.0, 0.0, 0.0, 27699.0
306, -16414.0, 0.0, 0.0, 28161.0
307, -16473.0, 0.0, 0.0, 27599.0
308, -17541.0, 0.0, 0.0, 28229.0
309, -17226.0, 0.0, 0.0, 27813.0
310, -17692.0, 0.0, 0.0, 27914.0
311, -18181.0, 0.0, 0.0, 27746.0
312, -18047.0, 0.0, 0.0, 27537.0
313, -18568.0, 0.0, 0.0, 27611.0
314, -19553.0, 0.0, 0.0, 27856.0
315, -19603.0, 0.0, 0.0, 27708.0
316, -19821.0, 0.0, 0.0, 27935.0
317, -20511.0, 0.0, 0.0, 27988.0
318, -20321.0, 0.0, 0.0, 27760.0
319, -20979.0, 0.0, 0.0, 27683.0
320, -21506.0, 0.0, 0.0, 28069.0
321, -21236.0, 0.0, 0.0, 27481.0
322, -21653.0, 0.0, 0.0, 27914.0
323, -22108.0, 0.0, 0.0, 27730.0
324, -22307.0, 0.0, 0.0, 27967.0
325, -22502.0, 0.0, 0.0, 27663.0
326, -23087.0, 0.0, 0.0, 27978.0
327, -22970.0, 0.0, 0.0, 27703.0
328, -22846.0, 0.0, 0.0, 27544.0
329, -24040.0, 0.0, 0.0, 27824.0
330, -23736.0, 0.0, 0.0, 27838.0
331, -24079.0, 0.0, 0.0, 27832.0
332, -24220.0, 0.0, 0.0, 27630.0
333, -24666.0, 0.0, 0.0, 27696.0
334, -25089.0, 0.0, 0.0, 28003.0
335, -24822.0, 0.0, 0.0, 27609.0
336, -25152.0, 0.0, 0.0, 27571.0
337, -25671.0, 0.0, 0.0, 27916.0
338, -25820.0, 0.0, 0.0, 27837.0
339, -25541.0, 0.0, 0.0, 27728.0
340, -25840.0, 0.0, 0.0, 27641.0
341, -25744.0, 0.0, 0.0, 27454.0
342, -26351.0, 0.0, 0.0, 27886.0
343, -26267.0, 0.0, 0.0, 27731.0
344, -26365.0, 0.0, 0.0, 27818.0
345, -26621.0, 0.0, 0.0, 27756.0
346, -26962.0, 0.0, 0.0, 27877.0
347, -26971.0, 0.0, 0.0, 27673.0
348, -26656.0, 0.0, 0.0, 27478.0
349, -26674.0, 0.0, 0.0, 27526.0
350, -26898.0, 0.0, 0.0, 27780.0
351, -27192.0, 0.0, 0.0, 27550.0
352, -27469.0, 0.0, 0.0, 27622.0
353, -27250.0, 0.0, 0.0, 27748.0
354, -27526.0, 0.0, 0.0, 27639.0
355, -27550.0, 0.0, 0.0, 27856.0
356, -27318.0, 0.0, 0.0, 27532.0
357, -27138.0, 0.0, 0.0, 27522.0
358, -27571.0, 0.0, 0.0, 27678.0
359, -28004.0, 0.0, 0.0, 27945.0
360, -13894.0, 0.0, 0.0, 13882.0
